,scoring,market,purchasing_date,review_title,review_content
1,80점,11번가,2024.11.24.,"
좋아요
",다른데서 시켰을때 배송을 거지같이 해줘서 반품하고 여기서 주문했는데 포장 안전하게 해줬어요~ 뭐 성능은 말할것도 없고 너무 이뻐요! 색 선택 잘한거 같아요~
2,100점,11번가,2024.10.26.,"
최고예요
",배송도 빠르고 아이폰 상태도 양호했어요. 애플케어도 공홈보다 싸서 베스트입니다
3,100점,롯데하이마트,2024.10.02.,"
몇 년만에 폰 바꾸는 거라 기대 많
",몇 년만에 폰 바꾸는 거라 기대 많이하고 사전예약했는데 배송도 당일에 바로 도착했고 제품에 하자도 없이 잘 받아서 쓰고 있어서 엄청 만족스럽네요트레이드 인도 원하는 날에 바로 수거하고 검수 끝나고 확인누르고 10분도 안돼서 입금됐어요서비스 매우 좋네요
4,100점,11번가,2025.01.07.,"
최고예요
",가격은 착하지 않지만...아이폰에 너무 적응하여 어쩔수가 없이 아이폰만 사요배송 빠르고 좋아요
5,100점,11번가,2024.09.27.,"
최고예요
","9/21 주문, 9/27 오전에 받았어요! 생각보다 빨리 왔고, 성능이나 크기나 전에 쓰던 게 12 미니였는데 비교하기가 민망하죠 뭐...ㅎㅎ"
6,100점,11번가,2024.10.26.,"
최고예요
",하루만에 배송이 왔네요 플러스랑 고민하다 일반 샀는데 일반적인 핸드폰 크기네요~아이폰은 오랜만이라 기대되지만 망가지지않고 오래 쓰고 싶어요 번창하세요
7,80점,롯데하이마트,2024.09.24.,"
잡스의 혁신은 점점 사라지는 듯.
",잡스의 혁신은 점점 사라지는 듯. 전화기를 바꿀 시기가 되어 새로 사는 정도. 컬러는 화이트가 그 중 나아 보임. 외부 디자인은 크게 변화를 느끼기 힘듬.
8,100점,11번가,2024.09.30.,"
최고예요
",10월2일 출고인데 9월28일에 연락없이 도착! 양품이도 12미니에서 온거라 배터리랑 카메라가 업글된게 제일 체감이 큽니다. 큰건 맘에 안들지만 ㅠㅠ프로는 무거워서 16으로 갔습니다. 몇년간 또 잘 쓸게요
9,100점,롯데하이마트,2024.10.09.,"
아이폰13mini쓰다가 16일반으로 넘
",아이폰13mini쓰다가 16일반으로 넘어왔어요. 쿠x에서 사전예약하고 기다리고 있었는데 우연히 하이마트에서 물량있는거 발견해서 바꾸고 다음날 바로 받았습니다!! 미니 쓰다 일반 쓰니 확실히 크고 묵직하네요 프로 샀으면 손목 나갔을듯..
0,100점,11번가,2024.12.13.,"
최고예요
",자급제폰 처음 사용해요기기의 상태는 복불복일듯요
